project,location,creek,year,metal,value,detected
KGM,Lower Johnson Creek,LJC,2011,Ni,27.3,y
KGM,Lower Johnson Creek,LJC,2012,Ni,23.4,y
KGM,Lower Johnson Creek,LJC,2013,Ni,15.7,y
KGM,Lower Johnson Creek,LJC,2014,Ni,16.9,y
KGM,Lower Johnson Creek,LJC,2015,Ni,17.7,y
KGM,Lower Johnson Creek,LJC,2016,Ni,15.1,y
KGM,Lower Johnson Creek,LJC,2011,Pb,9.76,y
KGM,Lower Johnson Creek,LJC,2012,Pb,9.45,y
KGM,Lower Johnson Creek,LJC,2013,Pb,8,y
KGM,Lower Johnson Creek,LJC,2014,Pb,10.9,y
KGM,Lower Johnson Creek,LJC,2015,Pb,8.04,y
KGM,Lower Johnson Creek,LJC,2016,Pb,8.41,y
KGM,Lower Johnson Creek,LJC,2011,Se,0.181,n
KGM,Lower Johnson Creek,LJC,2012,Se,0.167,n
KGM,Lower Johnson Creek,LJC,2013,Se,0.163,n
KGM,Lower Johnson Creek,LJC,2014,Se,0.5,n
KGM,Lower Johnson Creek,LJC,2015,Se,0.8,n
KGM,Lower Johnson Creek,LJC,2016,Se,0.57,n
KGM,Lower Johnson Creek,LJC,2011,Zn,93.3,y
KGM,Lower Johnson Creek,LJC,2012,Zn,97.3,y
KGM,Lower Johnson Creek,LJC,2013,Zn,121,y
KGM,Lower Johnson Creek,LJC,2014,Zn,83.4,y
KGM,Lower Johnson Creek,LJC,2015,Zn,79.7,y
KGM,Lower Johnson Creek,LJC,2016,Zn,65.7,y
KGM,Lower Sherman Creek,LSH,2011,Ag,0.137,y
KGM,Lower Sherman Creek,LSH,2012,Ag,0.289,y
KGM,Lower Sherman Creek,LSH,2013,Ag,0.306,y
KGM,Lower Sherman Creek,LSH,2014,Ag,0.14,y
KGM,Lower Sherman Creek,LSH,2015,Ag,0.25,y
KGM,Lower Sherman Creek,LSH,2016,Ag,0.097,y
KGM,Lower Sherman Creek,LSH,2011,Al,18200,y
KGM,Lower Sherman Creek,LSH,2012,Al,17900,y
KGM,Lower Sherman Creek,LSH,2013,Al,15400,y
KGM,Lower Sherman Creek,LSH,2014,Al,14900,y
KGM,Lower Sherman Creek,LSH,2015,Al,17500,y
KGM,Lower Sherman Creek,LSH,2016,Al,13800,y
KGM,Lower Sherman Creek,LSH,2011,As,28.9,y
KGM,Lower Sherman Creek,LSH,2012,As,24.3,y
KGM,Lower Sherman Creek,LSH,2013,As,25.4,y
KGM,Lower Sherman Creek,LSH,2014,As,27.9,y
KGM,Lower Sherman Creek,LSH,2015,As,37,y
KGM,Lower Sherman Creek,LSH,2016,As,19.9,y
KGM,Lower Sherman Creek,LSH,2011,Cd,0.389,y
KGM,Lower Sherman Creek,LSH,2012,Cd,0.578,y
KGM,Lower Sherman Creek,LSH,2013,Cd,0.39,y
KGM,Lower Sherman Creek,LSH,2014,Cd,0.36,y
KGM,Lower Sherman Creek,LSH,2015,Cd,0.32,y
KGM,Lower Sherman Creek,LSH,2016,Cd,0.388,y
KGM,Lower Sherman Creek,LSH,2011,Cr,46.2,y
KGM,Lower Sherman Creek,LSH,2012,Cr,51.4,y
KGM,Lower Sherman Creek,LSH,2013,Cr,37.4,y
KGM,Lower Sherman Creek,LSH,2014,Cr,33.6,y
KGM,Lower Sherman Creek,LSH,2015,Cr,30.9,y
KGM,Lower Sherman Creek,LSH,2016,Cr,27.5,y
KGM,Lower Sherman Creek,LSH,2011,Cu,94,y
KGM,Lower Sherman Creek,LSH,2012,Cu,79.1,y
KGM,Lower Sherman Creek,LSH,2013,Cu,69.4,y
KGM,Lower Sherman Creek,LSH,2014,Cu,68.4,y
KGM,Lower Sherman Creek,LSH,2015,Cu,70.8,y
KGM,Lower Sherman Creek,LSH,2016,Cu,72.5,y
KGM,Lower Sherman Creek,LSH,2011,Hg,0.0455,n
KGM,Lower Sherman Creek,LSH,2012,Hg,0.0681,y
KGM,Lower Sherman Creek,LSH,2013,Hg,0.0384,n
KGM,Lower Sherman Creek,LSH,2014,Hg,0.03,y
KGM,Lower Sherman Creek,LSH,2015,Hg,0.02,y
KGM,Lower Sherman Creek,LSH,2016,Hg,0.02,n
KGM,Lower Sherman Creek,LSH,2011,Ni,45.9,y
KGM,Lower Sherman Creek,LSH,2012,Ni,40.2,y
KGM,Lower Sherman Creek,LSH,2013,Ni,30.9,y
KGM,Lower Sherman Creek,LSH,2014,Ni,31.1,y
KGM,Lower Sherman Creek,LSH,2015,Ni,38,y
KGM,Lower Sherman Creek,LSH,2016,Ni,32.9,y
KGM,Lower Sherman Creek,LSH,2011,Pb,6.7,y
KGM,Lower Sherman Creek,LSH,2012,Pb,8.43,y
KGM,Lower Sherman Creek,LSH,2013,Pb,7.39,y
KGM,Lower Sherman Creek,LSH,2014,Pb,6.97,y
KGM,Lower Sherman Creek,LSH,2015,Pb,11,y
KGM,Lower Sherman Creek,LSH,2016,Pb,6.6,y
KGM,Lower Sherman Creek,LSH,2011,Se,0.178,n
KGM,Lower Sherman Creek,LSH,2012,Se,0.174,n
KGM,Lower Sherman Creek,LSH,2013,Se,1.77,y
KGM,Lower Sherman Creek,LSH,2014,Se,1.2,y
KGM,Lower Sherman Creek,LSH,2015,Se,2,y
KGM,Lower Sherman Creek,LSH,2016,Se,1.1,y
KGM,Lower Sherman Creek,LSH,2011,Zn,110,y
KGM,Lower Sherman Creek,LSH,2012,Zn,128,y
KGM,Lower Sherman Creek,LSH,2013,Zn,111,y
KGM,Lower Sherman Creek,LSH,2014,Zn,119,y
KGM,Lower Sherman Creek,LSH,2015,Zn,134,y
KGM,Lower Sherman Creek,LSH,2016,Zn,123,y
